date;category;type;description;_category;_subcategory;amount;transaction_id;mcc_code
2025-10-29;CASH;CARD_TRANSACTION;TOTAL           4379751;CHARGES_VARIABLES;CARBURANT;-30.190000;e9cf2f3f-55fe-432d-8a19-5d98ff3b0bcf;5541
2025-10-30;CASH;CARD_TRANSACTION;Amazon.fr*DJ14X4L35;ACHATS;DIVERS;-31.380000;5fafc034-3537-4a24-bd18-c9c6dcf30f9f;5999
2025-10-30;CASH;CARD_TRANSACTION;CIVETTE DE LA TOUR;ACHATS;TABAC;-12.400000;9c5fece4-d20f-4a6f-9ab7-d7302c0ae06e;5942
2025-10-30;CASH;CARD_TRANSACTION;NYX*LILLEAUTOMATIQUEDIST;ACHATS;CAFE;-0.300000;960e3ed1-c438-4704-bf71-77d4743076a3;5499
2025-10-30;CASH;CARD_TRANSACTION;NYX*LILLEAUTOMATIQUEDIST;ACHATS;CAFE;-0.200000;f7533ff8-dad7-451c-a1e8-ace8ad5bdae3;5499
2025-10-30;CASH;CARD_TRANSACTION;NYX*LILLEAUTOMATIQUEDIST;ACHATS;CAFE;-0.300000;61a5a352-5476-4f95-ac70-effe93b161aa;5499
2025-10-30;CASH;CARD_TRANSACTION;NYX*LILLEAUTOMATIQUEDIST;ACHATS;CAFE;-0.300000;2e3ca385-a1fb-453c-8faa-dc4d5648dad9;5499
2025-10-30;CASH;CARD_TRANSACTION;NYX*LILLEAUTOMATIQUEDIST;ACHATS;CAFE;-0.300000;85e049c7-5dbf-4efc-95b4-5627d5aec062;5499
2025-10-30;CASH;CARD_TRANSACTION;NYX*LILLEAUTOMATIQUEDIST;ACHATS;CAFE;-0.300000;903e298b-15ba-4b58-b3a5-8e38882744df;5499
2025-10-30;CASH;CARD_TRANSACTION;ZENPARKMailleri 4030783;CHARGES_VARIABLES;STATIONNEMENT_PEAGES;-3.500000;83648486-da84-4912-94ce-dd4210b6cc2b;5072
2025-11-01;CASH;CARD_TRANSACTION;GD FRAIS SENTI;ALIMENTATION;COURSES;-11.280000;d617aa67-eb27-4f19-9a9b-4772fc33a583;5411
2025-11-01;CASH;INTEREST_PAYMENT;Interest payment for payout collection 019a3d23-e937-78a1-b958-08c708ced42a;BANQUE;INTERETS;1.810000;c82d2de9-5f25-4211-90e4-df75548b935c;
2025-11-01;CASH;CARD_TRANSACTION;MARIE BLACHERE;ALIMENTATION;COURSES;-3.800000;5e8e4396-f1ba-4aed-986f-05e35cc6a2e2;5462
2025-11-01;CASH;CARD_TRANSACTION;O TERA;ALIMENTATION;COURSES;-73.980000;ef3d3d08-96e8-40cb-9ce7-07ebc92c6ff6;5411
2025-11-02;CASH;CARD_TRANSACTION;LEROY MERLIN    4986085;MAISON;BRICOLAGE;-52.000000;a3e1737f-cca9-4f13-9163-e525daf03bd3;5231
2025-11-03;CASH;CUSTOMER_INBOUND;PERMANENT TRADE REPUBLIC;DIVERS;AJUSTEMENTS_ERREURS;1350.000000;a932dd22-7cf9-48e7-836a-4421217bcae4;
2025-11-03;TRADING;BUY;Savings plan execution LU1681048804 Amundi Index Solutions - Amundi S&P 500 Swap UCITS ETF EUR Acc, quantity: 0.127361;EPARGNE;INVESTISSEMENTS;-15.00;ec053766-8fc4-4f0d-941e-de481bd9a123;
2025-11-03;TRADING;BUY;Savings plan execution LU1681048804 Amundi Index Solutions - Amundi S&P 500 Swap UCITS ETF EUR Acc, quantity: 0.424700;EPARGNE;INVESTISSEMENTS;-50.00;5e5670cc-8dcb-472d-84b1-32e61b730967;
2025-11-03;CASH;BENEFITS_SAVEBACK;Your Saveback payment;DIVERS;AJUSTEMENTS_ERREURS;15.000000;c0acbd60-37ab-44df-b64a-15c813448e46;
2025-11-05;CASH;CARD_TRANSACTION;CONTIN BOM DIA LISBO;ALIMENTATION;COURSES;-15.940000;d03b2c3a-18d1-4af5-9a90-50715afc1257;5411
2025-11-05;CASH;CARD_TRANSACTION;GARFO - FOOD & BEVERAGE.;ALIMENTATION;RESTAURANTS;-129.800000;9fb279e8-2a46-4465-b6cf-adaa70fba82c;5812
2025-11-05;CASH;CARD_TRANSACTION;RELAY TRIBS     4116230;ACHATS;DIVERS;-6.400000;a2aab5a8-aa2a-43a3-840f-72195028f76c;5942
2025-11-05;CASH;CARD_TRANSACTION;RELAY TRIBS     4116230;ACHATS;DIVERS;-2.400000;d69bef84-6361-4e0e-93eb-020ec40ab763;5942
2025-11-06;CASH;CARD_TRANSACTION;MCDONALDS  CHIADO;ALIMENTATION;RESTAURANTS;-2.600000;d9e0e61b-8e67-43d3-aa5a-152f88ae3464;5812
2025-11-06;CASH;CARD_TRANSACTION;RESTAURANTE FERNANDO;ALIMENTATION;RESTAURANTS;-10.750000;58825856-f726-42c9-8ce4-bd5a9817640f;5812
2025-11-06;CASH;CARD_TRANSACTION;TERRACO EDITORIAL;ACHATS;DIVERS;-65.100000;69714227-390f-4e58-bedf-7c283b447714;5812
2025-11-07;CASH;CARD_TRANSACTION;Metropolitano de Lisboa;CHARGES_VARIABLES;TRANSPORTS_COMMUN;-1.850000;04397a5d-e0d3-461d-b7bb-1c1155c49417;4111
2025-11-07;CASH;CARD_TRANSACTION;SINTRA LRO TVM;CHARGES_VARIABLES;TRANSPORTS_COMMUN;-10.800000;5612a542-85b9-4c2c-9ced-76f4e58d429b;9311
2025-11-07;CASH;CARD_TRANSACTION;SINTRA TERRACE;ALIMENTATION;RESTAURANTS;-59.400000;0761ce04-b8c6-4265-867e-b91ec85824b3;5812
2025-11-08;CASH;CARD_TRANSACTION;CONTINENTE BOM DIA;ACHATS;DIVERS;-2.870000;e26603c4-3bb7-4c5a-ad5d-ec6a0d0d32b9;5411
2025-11-08;CASH;CARD_TRANSACTION;MIGUEL CASTRO-SILVA;ACHATS;DIVERS;-6.800000;f8f0e169-4fec-43ce-a68b-03847cc43c1d;5812
2025-11-08;CASH;CARD_TRANSACTION;SHIFU RAMEN REST;ALIMENTATION;RESTAURANTS;-39.030000;dc595dda-d018-4ecf-a5b2-e6ed73acdeba;5812
2025-11-09;CASH;CARD_TRANSACTION;APPLE.COM/BILL;CHARGES_FIXES;ABONNEMENTS_FIXES;-22.990000;fd1d4bc5-717d-4ce4-a54b-9b119a01fc55;5818
2025-11-09;CASH;CARD_TRANSACTION;BEER EXPERIENCE;ACHATS;DIVERS;-7.400000;78921fd1-727b-440d-beab-99fb075e7ddc;5812
2025-11-09;CASH;CARD_TRANSACTION;BEER EXPERIENCE;ACHATS;DIVERS;-7.200000;1ef3bd25-eeab-4419-aea9-721071d588f7;5812
2025-11-09;CASH;CARD_TRANSACTION;GELATOMANIA NAZARE;ALIMENTATION;RESTAURANTS;-8.800000;d6645398-7cc3-429c-beb7-807f7b28d6c9;5812
2025-11-09;CASH;CARD_TRANSACTION;MA DUQUE LOULE;ACHATS;DIVERS;-12.970000;747a61f8-2012-4bf7-bd74-cf759593392b;5411
2025-11-09;CASH;CARD_TRANSACTION;Metropolitano de Lisboa;CHARGES_VARIABLES;TRANSPORTS_COMMUN;-3.700000;a160efbe-88d7-4c3f-aeae-249f811d9b2d;4111
2025-11-09;CASH;CARD_TRANSACTION;Metropolitano de Lisboa;CHARGES_VARIABLES;TRANSPORTS_COMMUN;-1.850000;3ce44080-597b-4813-80e1-67ad46ccc3f5;4111
2025-11-09;CASH;CARD_TRANSACTION;PASTEIS DE BELEM;ALIMENTATION;COURSES;-7.400000;a1f3194d-efff-486e-b096-cdbe75937473;5499
2025-11-09;CASH;CARD_TRANSACTION;TIME OUT SHOP;LOISIRS;VACANCES_WEEKENDS;-6.800000;dfc70aed-2efb-4168-9cd1-4daeb5e8b583;5812
2025-11-10;CASH;CARD_TRANSACTION;LISBON DUTY FREE T2;LOISIRS;VACANCES_WEEKENDS;-7.000000;e415d068-6754-4164-8cef-4d731e071c52;5947
2025-11-10;CASH;CARD_TRANSACTION;MCDONALDS AEROPORTO;ALIMENTATION;RESTAURANTS;-3.500000;6f725e12-204d-4a18-8cca-0e253bb1bd19;5812
